timestamp,sensor_id,yaw,pitch,roll
4116571.0,imu1,11.84,3.97,0.05
4116581.0,imu1,11.84,3.97,0.05
4116591.0,imu1,11.84,3.97,0.05
4116601.0,imu1,11.84,3.97,0.05
4116611.0,imu1,11.84,3.97,0.05
4116621.0,imu1,11.84,3.97,0.05
4116631.0,imu1,11.84,3.97,0.05
4116641.0,imu1,11.84,3.97,0.05
4116651.0,imu1,11.84,3.97,0.05
4116661.0,imu1,11.84,3.97,0.05
4116671.0,imu1,11.84,3.97,0.05
4116681.0,imu1,11.84,3.96,0.04
4116691.0,imu1,11.84,3.96,0.04
4116701.0,imu1,11.84,3.96,0.04
4116711.0,imu1,11.84,3.96,0.04
4116721.0,imu1,11.84,3.97,0.04
4116731.0,imu1,11.84,3.97,0.04
4116741.0,imu1,11.84,3.97,0.04
4116751.0,imu1,11.84,3.97,0.04
4116761.0,imu1,11.84,3.97,0.05
4116771.0,imu1,11.84,3.97,0.05
4116781.0,imu1,11.84,3.97,0.05
4116791.0,imu1,11.84,3.96,0.05
4116801.0,imu1,11.84,3.96,0.05
4116811.0,imu1,11.84,3.97,0.05
4116821.0,imu1,11.84,3.97,0.05
4116831.0,imu1,11.84,3.97,0.05
4116841.0,imu1,11.84,3.97,0.05
4116851.0,imu1,11.84,3.97,0.05
4116861.0,imu1,11.84,3.97,0.05
4116871.0,imu1,11.84,3.97,0.05
4116881.0,imu1,11.84,3.97,0.05
4116891.0,imu1,11.84,3.97,0.05
4116901.0,imu1,11.84,3.97,0.05
4116911.0,imu1,11.84,3.97,0.05
4116921.0,imu1,11.84,3.97,0.05
4116931.0,imu1,11.84,3.97,0.05
4116941.0,imu1,11.83,3.97,0.05
4116952.0,imu1,11.83,3.97,0.05
4116962.0,imu1,11.83,3.97,0.05
4116972.0,imu1,11.83,3.97,0.05
4116982.0,imu1,11.83,3.97,0.05
4116992.0,imu1,11.83,3.97,0.05
4117002.0,imu1,11.83,3.97,0.05
4117012.0,imu1,11.83,3.97,0.05
4117022.0,imu1,11.83,3.97,0.05
4117032.0,imu1,11.83,3.97,0.05
4117042.0,imu1,11.83,3.97,0.05
4117052.0,imu1,11.83,3.97,0.05
4117062.0,imu1,11.83,3.97,0.05
4117072.0,imu1,11.83,3.97,0.05
4117082.0,imu1,11.83,3.97,0.05
4117092.0,imu1,11.83,3.96,0.05
4117102.0,imu1,11.83,3.96,0.05
4117112.0,imu1,11.83,3.96,0.05
4117122.0,imu1,11.83,3.96,0.05
4117132.0,imu1,11.83,3.96,0.05
4117142.0,imu1,11.83,3.96,0.05
4117152.0,imu1,11.83,3.96,0.05
4117162.0,imu1,11.83,3.96,0.05
4117172.0,imu1,11.83,3.96,0.05
